,Id,ActivityDay,Calories
0,1503960366,2016-04-12,1985
1,1503960366,2016-04-13,1797
2,1503960366,2016-04-14,1776
3,1503960366,2016-04-15,1745
4,1503960366,2016-04-16,1863
5,1503960366,2016-04-17,1728
6,1503960366,2016-04-18,1921
7,1503960366,2016-04-19,2035
8,1503960366,2016-04-20,1786
9,1503960366,2016-04-21,1775
10,1503960366,2016-04-22,1827
11,1503960366,2016-04-23,1949
12,1503960366,2016-04-24,1788
13,1503960366,2016-04-25,2013
14,1503960366,2016-04-26,1970
15,1503960366,2016-04-27,2159
16,1503960366,2016-04-28,1898
17,1503960366,2016-04-29,1837
18,1503960366,2016-04-30,1947
19,1503960366,2016-05-01,1820
20,1503960366,2016-05-02,2004
21,1503960366,2016-05-03,1990
22,1503960366,2016-05-04,1819
23,1503960366,2016-05-05,1959
24,1503960366,2016-05-06,1896
25,1503960366,2016-05-07,1821
26,1503960366,2016-05-08,1740
27,1503960366,2016-05-09,1819
28,1503960366,2016-05-10,1859
29,1503960366,2016-05-11,1783
30,1503960366,2016-05-12,0
31,1624580081,2016-04-12,1432
32,1624580081,2016-04-13,1411
33,1624580081,2016-04-14,1572
34,1624580081,2016-04-15,1344
35,1624580081,2016-04-16,1463
36,1624580081,2016-04-17,1554
37,1624580081,2016-04-18,1604
38,1624580081,2016-04-19,1435
39,1624580081,2016-04-20,1446
40,1624580081,2016-04-21,1467
41,1624580081,2016-04-22,1470
42,1624580081,2016-04-23,1562
43,1624580081,2016-04-24,1617
44,1624580081,2016-04-25,1492
45,1624580081,2016-04-26,1402
46,1624580081,2016-04-27,1670
47,1624580081,2016-04-28,1401
48,1624580081,2016-04-29,1404
49,1624580081,2016-04-30,1655
50,1624580081,2016-05-01,2690
51,1624580081,2016-05-02,1497
52,1624580081,2016-05-03,1334
53,1624580081,2016-05-04,1368
54,1624580081,2016-05-05,1370
55,1624580081,2016-05-06,1341
56,1624580081,2016-05-07,1474
57,1624580081,2016-05-08,1427
58,1624580081,2016-05-09,1328
59,1624580081,2016-05-10,1393
60,1624580081,2016-05-11,1359
61,1624580081,2016-05-12,1002
62,1644430081,2016-04-12,3199
63,1644430081,2016-04-13,2902
64,1644430081,2016-04-14,3226
65,1644430081,2016-04-15,2750
66,1644430081,2016-04-16,3493
67,1644430081,2016-04-17,3011
68,1644430081,2016-04-18,2806
69,1644430081,2016-04-19,3300
70,1644430081,2016-04-20,2430
71,1644430081,2016-04-21,2140
72,1644430081,2016-04-22,2344
73,1644430081,2016-04-23,2677
74,1644430081,2016-04-24,2413
75,1644430081,2016-04-25,2497
76,1644430081,2016-04-26,3123
77,1644430081,2016-04-27,2489
78,1644430081,2016-04-28,3108
79,1644430081,2016-04-29,2498
80,1644430081,2016-04-30,3846
81,1644430081,2016-05-01,2696
82,1644430081,2016-05-02,2580
83,1644430081,2016-05-03,3324
84,1644430081,2016-05-04,2222
85,1644430081,2016-05-05,2463
86,1644430081,2016-05-06,3328
87,1644430081,2016-05-07,3404
88,1644430081,2016-05-08,2987
89,1644430081,2016-05-09,3008
90,1644430081,2016-05-10,2799
91,1644430081,2016-05-11,1276
92,1844505072,2016-04-12,2030
93,1844505072,2016-04-13,1860
94,1844505072,2016-04-14,2130
95,1844505072,2016-04-15,1725
96,1844505072,2016-04-16,1657
97,1844505072,2016-04-17,1793
98,1844505072,2016-04-18,1814
99,1844505072,2016-04-19,1366
100,1844505072,2016-04-20,1349
101,1844505072,2016-04-21,2062
102,1844505072,2016-04-22,1827
103,1844505072,2016-04-23,1645
104,1844505072,2016-04-24,1347
105,1844505072,2016-04-25,1347
106,1844505072,2016-04-26,1347
107,1844505072,2016-04-27,1348
108,1844505072,2016-04-28,1992
109,1844505072,2016-04-29,1856
110,1844505072,2016-04-30,1763
111,1844505072,2016-05-01,1541
112,1844505072,2016-05-02,1348
113,1844505072,2016-05-03,1742
114,1844505072,2016-05-04,1549
115,1844505072,2016-05-05,1589
116,1844505072,2016-05-06,1351
117,1844505072,2016-05-07,1347
118,1844505072,2016-05-08,1347
119,1844505072,2016-05-09,1347
120,1844505072,2016-05-10,1347
121,1844505072,2016-05-11,1347
122,1844505072,2016-05-12,665
123,1927972279,2016-04-12,2220
124,1927972279,2016-04-13,2151
125,1927972279,2016-04-14,2383
126,1927972279,2016-04-15,2221
127,1927972279,2016-04-16,2064
128,1927972279,2016-04-17,2063
129,1927972279,2016-04-18,2111
130,1927972279,2016-04-19,2063
131,1927972279,2016-04-20,2063
132,1927972279,2016-04-21,2064
133,1927972279,2016-04-22,2093
134,1927972279,2016-04-23,2499
135,1927972279,2016-04-24,2324
136,1927972279,2016-04-25,2100
137,1927972279,2016-04-26,2638
138,1927972279,2016-04-27,2063
139,1927972279,2016-04-28,2351
140,1927972279,2016-04-29,2063
141,1927972279,2016-04-30,2064
142,1927972279,2016-05-01,2411
143,1927972279,2016-05-02,2505
144,1927972279,2016-05-03,2195
145,1927972279,2016-05-04,2338
146,1927972279,2016-05-05,2063
147,1927972279,2016-05-06,2383
148,1927972279,2016-05-07,2229
149,1927972279,2016-05-08,2063
150,1927972279,2016-05-09,2063
151,1927972279,2016-05-10,2063
152,1927972279,2016-05-11,2063
153,1927972279,2016-05-12,1383
154,2022484408,2016-04-12,2390
155,2022484408,2016-04-13,2601
156,2022484408,2016-04-14,2312
157,2022484408,2016-04-15,2525
158,2022484408,2016-04-16,2177
159,2022484408,2016-04-17,2782
160,2022484408,2016-04-18,2770
161,2022484408,2016-04-19,2489
162,2022484408,2016-04-20,2897
163,2022484408,2016-04-21,3158
164,2022484408,2016-04-22,2638
165,2022484408,2016-04-23,2069
166,2022484408,2016-04-24,2529
167,2022484408,2016-04-25,2470
168,2022484408,2016-04-26,2793
169,2022484408,2016-04-27,2463
170,2022484408,2016-04-28,2296
171,2022484408,2016-04-29,2611
172,2022484408,2016-04-30,2732
173,2022484408,2016-05-01,2380
174,2022484408,2016-05-02,2473
175,2022484408,2016-05-03,2752
176,2022484408,2016-05-04,2649
177,2022484408,2016-05-05,2609
178,2022484408,2016-05-06,2498
179,2022484408,2016-05-07,1995
180,2022484408,2016-05-08,1848
181,2022484408,2016-05-09,2709
182,2022484408,2016-05-10,2797
183,2022484408,2016-05-11,2544
184,2022484408,2016-05-12,1853
185,2026352035,2016-04-12,1459
186,2026352035,2016-04-13,1521
187,2026352035,2016-04-14,1431
188,2026352035,2016-04-15,1444
189,2026352035,2016-04-16,1373
190,2026352035,2016-04-17,1214
191,2026352035,2016-04-18,1419
192,2026352035,2016-04-19,1356
193,2026352035,2016-04-20,1667
194,2026352035,2016-04-21,1370
195,2026352035,2016-04-22,1399
196,2026352035,2016-04-23,1916
197,2026352035,2016-04-24,1401
198,2026352035,2016-04-25,1576
199,2026352035,2016-04-26,1595
200,2026352035,2016-04-27,1593
201,2026352035,2016-04-28,1649
202,2026352035,2016-04-29,1692
203,2026352035,2016-04-30,1506
204,2026352035,2016-05-01,1447
205,2026352035,2016-05-02,1690
206,2026352035,2016-05-03,1604
207,2026352035,2016-05-04,1658
208,2026352035,2016-05-05,1926
209,2026352035,2016-05-06,1736
210,2026352035,2016-05-07,1491
211,2026352035,2016-05-08,1555
212,2026352035,2016-05-09,1869
213,2026352035,2016-05-10,1141
214,2026352035,2016-05-11,1698
215,2026352035,2016-05-12,1364
216,2320127002,2016-04-12,2124
217,2320127002,2016-04-13,2003
218,2320127002,2016-04-14,1696
219,2320127002,2016-04-15,1801
220,2320127002,2016-04-16,1724
221,2320127002,2016-04-17,1852
222,2320127002,2016-04-18,1905
223,2320127002,2016-04-19,1811
224,2320127002,2016-04-20,1922
225,2320127002,2016-04-21,1610
226,2320127002,2016-04-22,1851
227,2320127002,2016-04-23,1804
228,2320127002,2016-04-24,1725
229,2320127002,2016-04-25,1654
230,2320127002,2016-04-26,1632
231,2320127002,2016-04-27,1481
232,2320127002,2016-04-28,1473
233,2320127002,2016-04-29,1410
234,2320127002,2016-04-30,1779
235,2320127002,2016-05-01,1403
236,2320127002,2016-05-02,1613
237,2320127002,2016-05-03,1878
238,2320127002,2016-05-04,1426
239,2320127002,2016-05-05,1780
240,2320127002,2016-05-06,1742
241,2320127002,2016-05-07,1972
242,2320127002,2016-05-08,1821
243,2320127002,2016-05-09,1630
244,2320127002,2016-05-10,1899
245,2320127002,2016-05-11,1903
246,2320127002,2016-05-12,1125
247,2347167796,2016-04-12,2344
248,2347167796,2016-04-13,2038
249,2347167796,2016-04-14,2010
250,2347167796,2016-04-15,2133
251,2347167796,2016-04-16,2670
252,2347167796,2016-04-17,1882
253,2347167796,2016-04-18,1944
254,2347167796,2016-04-19,2346
255,2347167796,2016-04-20,2198
256,2347167796,2016-04-21,2048
257,2347167796,2016-04-22,1946
258,2347167796,2016-04-23,2629
259,2347167796,2016-04-24,2187
260,2347167796,2016-04-25,2095
261,2347167796,2016-04-26,1861
262,2347167796,2016-04-27,2194
263,2347167796,2016-04-28,1854
264,2347167796,2016-04-29,403
265,2873212765,2016-04-12,1982
266,2873212765,2016-04-13,2004
267,2873212765,2016-04-14,1893
268,2873212765,2016-04-15,2063
269,2873212765,2016-04-16,2148
270,2873212765,2016-04-17,1529
271,2873212765,2016-04-18,1890
272,2873212765,2016-04-19,1956
273,2873212765,2016-04-20,2094
274,2873212765,2016-04-21,1970
275,2873212765,2016-04-22,2241
276,2873212765,2016-04-23,2021
277,2873212765,2016-04-24,1898
278,2873212765,2016-04-25,1907
279,2873212765,2016-04-26,1882
280,2873212765,2016-04-27,1966
281,2873212765,2016-04-28,1835
282,2873212765,2016-04-29,1780
283,2873212765,2016-04-30,1830
284,2873212765,2016-05-01,1739
285,2873212765,2016-05-02,1878
286,2873212765,2016-05-03,1906
287,2873212765,2016-05-04,2015
288,2873212765,2016-05-05,1971
289,2873212765,2016-05-06,1910
290,2873212765,2016-05-07,1897
291,2873212765,2016-05-08,2096
292,2873212765,2016-05-09,1906
293,2873212765,2016-05-10,1962
294,2873212765,2016-05-11,1826
295,2873212765,2016-05-12,1431
296,3372868164,2016-04-12,1788
297,3372868164,2016-04-13,2093
298,3372868164,2016-04-14,2065
299,3372868164,2016-04-15,1908
