,Id,ActivityDay,StepTotal
0,1503960366,2016-04-12,13162
1,1503960366,2016-04-13,10735
2,1503960366,2016-04-14,10460
3,1503960366,2016-04-15,9762
4,1503960366,2016-04-16,12669
5,1503960366,2016-04-17,9705
6,1503960366,2016-04-18,13019
7,1503960366,2016-04-19,15506
8,1503960366,2016-04-20,10544
9,1503960366,2016-04-21,9819
10,1503960366,2016-04-22,12764
11,1503960366,2016-04-23,14371
12,1503960366,2016-04-24,10039
13,1503960366,2016-04-25,15355
14,1503960366,2016-04-26,13755
15,1503960366,2016-04-27,18134
16,1503960366,2016-04-28,13154
17,1503960366,2016-04-29,11181
18,1503960366,2016-04-30,14673
19,1503960366,2016-05-01,10602
20,1503960366,2016-05-02,14727
21,1503960366,2016-05-03,15103
22,1503960366,2016-05-04,11100
23,1503960366,2016-05-05,14070
24,1503960366,2016-05-06,12159
25,1503960366,2016-05-07,11992
26,1503960366,2016-05-08,10060
27,1503960366,2016-05-09,12022
28,1503960366,2016-05-10,12207
29,1503960366,2016-05-11,12770
30,1503960366,2016-05-12,0
31,1624580081,2016-04-12,8163
32,1624580081,2016-04-13,7007
33,1624580081,2016-04-14,9107
34,1624580081,2016-04-15,1510
35,1624580081,2016-04-16,5370
36,1624580081,2016-04-17,6175
37,1624580081,2016-04-18,10536
38,1624580081,2016-04-19,2916
39,1624580081,2016-04-20,4974
40,1624580081,2016-04-21,6349
41,1624580081,2016-04-22,4026
42,1624580081,2016-04-23,8538
43,1624580081,2016-04-24,6076
44,1624580081,2016-04-25,6497
45,1624580081,2016-04-26,2826
46,1624580081,2016-04-27,8367
47,1624580081,2016-04-28,2759
48,1624580081,2016-04-29,2390
49,1624580081,2016-04-30,6474
50,1624580081,2016-05-01,36019
51,1624580081,2016-05-02,7155
52,1624580081,2016-05-03,2100
53,1624580081,2016-05-04,2193
54,1624580081,2016-05-05,2470
55,1624580081,2016-05-06,1727
56,1624580081,2016-05-07,2104
57,1624580081,2016-05-08,3427
58,1624580081,2016-05-09,1732
59,1624580081,2016-05-10,2969
60,1624580081,2016-05-11,3134
61,1624580081,2016-05-12,2971
62,1644430081,2016-04-12,10694
63,1644430081,2016-04-13,8001
64,1644430081,2016-04-14,11037
65,1644430081,2016-04-15,5263
66,1644430081,2016-04-16,15300
67,1644430081,2016-04-17,8757
68,1644430081,2016-04-18,7132
69,1644430081,2016-04-19,11256
70,1644430081,2016-04-20,2436
71,1644430081,2016-04-21,1223
72,1644430081,2016-04-22,3673
73,1644430081,2016-04-23,6637
74,1644430081,2016-04-24,3321
75,1644430081,2016-04-25,3580
76,1644430081,2016-04-26,9919
77,1644430081,2016-04-27,3032
78,1644430081,2016-04-28,9405
79,1644430081,2016-04-29,3176
80,1644430081,2016-04-30,18213
81,1644430081,2016-05-01,6132
82,1644430081,2016-05-02,3758
83,1644430081,2016-05-03,12850
84,1644430081,2016-05-04,2309
85,1644430081,2016-05-05,4363
86,1644430081,2016-05-06,9787
87,1644430081,2016-05-07,13372
88,1644430081,2016-05-08,6724
89,1644430081,2016-05-09,6643
90,1644430081,2016-05-10,9167
91,1644430081,2016-05-11,1329
92,1844505072,2016-04-12,6697
93,1844505072,2016-04-13,4929
94,1844505072,2016-04-14,7937
95,1844505072,2016-04-15,3844
96,1844505072,2016-04-16,3414
97,1844505072,2016-04-17,4525
98,1844505072,2016-04-18,4597
99,1844505072,2016-04-19,197
100,1844505072,2016-04-20,8
101,1844505072,2016-04-21,8054
102,1844505072,2016-04-22,5372
103,1844505072,2016-04-23,3570
104,1844505072,2016-04-24,0
105,1844505072,2016-04-25,0
106,1844505072,2016-04-26,0
107,1844505072,2016-04-27,4
108,1844505072,2016-04-28,6907
109,1844505072,2016-04-29,4920
110,1844505072,2016-04-30,4014
111,1844505072,2016-05-01,2573
112,1844505072,2016-05-02,0
113,1844505072,2016-05-03,4059
114,1844505072,2016-05-04,2080
115,1844505072,2016-05-05,2237
