,Id,ActivityHour,StepTotal,ActivityDate,ActivityTimeOfDay
0,1503960366,12:00:00,373,2016-04-12,AM
1,1503960366,01:00:00,160,2016-04-12,AM
2,1503960366,02:00:00,151,2016-04-12,AM
3,1503960366,03:00:00,0,2016-04-12,AM
4,1503960366,04:00:00,0,2016-04-12,AM
5,1503960366,05:00:00,0,2016-04-12,AM
6,1503960366,06:00:00,0,2016-04-12,AM
7,1503960366,07:00:00,0,2016-04-12,AM
8,1503960366,08:00:00,250,2016-04-12,AM
9,1503960366,09:00:00,1864,2016-04-12,AM
10,1503960366,10:00:00,676,2016-04-12,AM
11,1503960366,11:00:00,360,2016-04-12,AM
12,1503960366,12:00:00,253,2016-04-12,PM
13,1503960366,01:00:00,221,2016-04-12,PM
14,1503960366,02:00:00,1166,2016-04-12,PM
15,1503960366,03:00:00,2063,2016-04-12,PM
16,1503960366,04:00:00,344,2016-04-12,PM
17,1503960366,05:00:00,489,2016-04-12,PM
18,1503960366,06:00:00,1386,2016-04-12,PM
19,1503960366,07:00:00,558,2016-04-12,PM
20,1503960366,08:00:00,1733,2016-04-12,PM
21,1503960366,09:00:00,684,2016-04-12,PM
22,1503960366,10:00:00,89,2016-04-12,PM
23,1503960366,11:00:00,338,2016-04-12,PM
24,1503960366,12:00:00,144,2016-04-13,AM
25,1503960366,01:00:00,0,2016-04-13,AM
26,1503960366,02:00:00,0,2016-04-13,AM
27,1503960366,03:00:00,36,2016-04-13,AM
28,1503960366,04:00:00,0,2016-04-13,AM
29,1503960366,05:00:00,0,2016-04-13,AM
30,1503960366,06:00:00,0,2016-04-13,AM
31,1503960366,07:00:00,126,2016-04-13,AM
32,1503960366,08:00:00,275,2016-04-13,AM
33,1503960366,09:00:00,1679,2016-04-13,AM
34,1503960366,10:00:00,295,2016-04-13,AM
35,1503960366,11:00:00,524,2016-04-13,AM
36,1503960366,12:00:00,486,2016-04-13,PM
37,1503960366,01:00:00,302,2016-04-13,PM
38,1503960366,02:00:00,1577,2016-04-13,PM
39,1503960366,03:00:00,493,2016-04-13,PM
40,1503960366,04:00:00,299,2016-04-13,PM
41,1503960366,05:00:00,695,2016-04-13,PM
42,1503960366,06:00:00,1343,2016-04-13,PM
43,1503960366,07:00:00,258,2016-04-13,PM
44,1503960366,08:00:00,0,2016-04-13,PM
45,1503960366,09:00:00,0,2016-04-13,PM
46,1503960366,10:00:00,437,2016-04-13,PM
47,1503960366,11:00:00,1766,2016-04-13,PM
48,1503960366,12:00:00,81,2016-04-14,AM
49,1503960366,01:00:00,58,2016-04-14,AM
50,1503960366,02:00:00,0,2016-04-14,AM
51,1503960366,03:00:00,0,2016-04-14,AM
52,1503960366,04:00:00,0,2016-04-14,AM
53,1503960366,05:00:00,0,2016-04-14,AM
