,Id,ActivityDate,ActivityHour,TotalSleepRecords,TotalMinutesAsleep,ActivityTimeOfDay
0,1503960366,2016-04-12,12:00:00,1,327,AM
1,1503960366,2016-04-13,12:00:00,2,384,AM
2,1503960366,2016-04-15,12:00:00,1,412,AM
3,1503960366,2016-04-16,12:00:00,2,340,AM
4,1503960366,2016-04-17,12:00:00,1,700,AM
5,1503960366,2016-04-19,12:00:00,1,304,AM
6,1503960366,2016-04-20,12:00:00,1,360,AM
7,1503960366,2016-04-21,12:00:00,1,325,AM
8,1503960366,2016-04-23,12:00:00,1,361,AM
9,1503960366,2016-04-24,12:00:00,1,430,AM
10,1503960366,2016-04-25,12:00:00,1,277,AM
11,1503960366,2016-04-26,12:00:00,1,245,AM
12,1503960366,2016-04-28,12:00:00,1,366,AM
13,1503960366,2016-04-29,12:00:00,1,341,AM
14,1503960366,2016-04-30,12:00:00,1,404,AM
15,1503960366,2016-05-01,12:00:00,1,369,AM
16,1503960366,2016-05-02,12:00:00,1,277,AM
17,1503960366,2016-05-03,12:00:00,1,273,AM
18,1503960366,2016-05-05,12:00:00,1,247,AM
19,1503960366,2016-05-06,12:00:00,1,334,AM
20,1503960366,2016-05-07,12:00:00,1,331,AM
21,1503960366,2016-05-08,12:00:00,1,594,AM
22,1503960366,2016-05-09,12:00:00,1,338,AM
23,1503960366,2016-05-10,12:00:00,1,383,AM
24,1503960366,2016-05-11,12:00:00,1,285,AM
25,1644430081,2016-04-29,12:00:00,1,119,AM
26,1644430081,2016-04-30,12:00:00,1,124,AM
27,1644430081,2016-05-02,12:00:00,1,796,AM
28,1644430081,2016-05-08,12:00:00,1,137,AM
29,1844505072,2016-04-15,12:00:00,1,644,AM
30,1844505072,2016-04-30,12:00:00,1,722,AM
31,1844505072,2016-05-01,12:00:00,1,590,AM
32,1927972279,2016-04-12,12:00:00,3,750,AM
33,1927972279,2016-04-13,12:00:00,1,398,AM
34,1927972279,2016-04-15,12:00:00,2,475,AM
35,1927972279,2016-04-26,12:00:00,1,296,AM
36,1927972279,2016-04-28,12:00:00,1,166,AM
37,2026352035,2016-04-12,12:00:00,1,503,AM
38,2026352035,2016-04-13,12:00:00,1,531,AM
39,2026352035,2016-04-14,12:00:00,1,545,AM
40,2026352035,2016-04-15,12:00:00,1,523,AM
41,2026352035,2016-04-16,12:00:00,1,524,AM
42,2026352035,2016-04-17,12:00:00,1,437,AM
43,2026352035,2016-04-19,12:00:00,1,498,AM
44,2026352035,2016-04-20,12:00:00,1,461,AM
45,2026352035,2016-04-21,12:00:00,1,477,AM
46,2026352035,2016-04-22,12:00:00,1,520,AM
47,2026352035,2016-04-23,12:00:00,1,522,AM
48,2026352035,2016-04-24,12:00:00,1,555,AM
49,2026352035,2016-04-25,12:00:00,1,506,AM
50,2026352035,2016-04-27,12:00:00,1,508,AM
51,2026352035,2016-04-28,12:00:00,1,513,AM
52,2026352035,2016-04-29,12:00:00,1,490,AM
53,2026352035,2016-04-30,12:00:00,1,573,AM
54,2026352035,2016-05-01,12:00:00,1,527,AM
55,2026352035,2016-05-02,12:00:00,1,511,AM
56,2026352035,2016-05-04,12:00:00,1,538,AM
57,2026352035,2016-05-05,12:00:00,1,468,AM
58,2026352035,2016-05-06,12:00:00,1,524,AM
59,2026352035,2016-05-07,12:00:00,1,511,AM
60,2026352035,2016-05-08,12:00:00,1,541,AM
61,2026352035,2016-05-09,12:00:00,1,531,AM
62,2026352035,2016-05-10,12:00:00,1,357,AM
63,2026352035,2016-05-11,12:00:00,1,523,AM
64,2026352035,2016-05-12,12:00:00,1,456,AM
65,2320127002,2016-04-23,12:00:00,1,61,AM
66,2347167796,2016-04-13,12:00:00,1,467,AM
67,2347167796,2016-04-14,12:00:00,1,445,AM
68,2347167796,2016-04-15,12:00:00,1,452,AM
69,2347167796,2016-04-17,12:00:00,1,556,AM
70,2347167796,2016-04-18,12:00:00,1,500,AM
71,2347167796,2016-04-19,12:00:00,1,465,AM
72,2347167796,2016-04-21,12:00:00,1,460,AM
73,2347167796,2016-04-22,12:00:00,1,405,AM
74,2347167796,2016-04-23,12:00:00,1,374,AM
75,2347167796,2016-04-24,12:00:00,1,442,AM
76,2347167796,2016-04-25,12:00:00,1,433,AM
77,2347167796,2016-04-26,12:00:00,1,436,AM
78,2347167796,2016-04-27,12:00:00,1,448,AM
79,2347167796,2016-04-28,12:00:00,1,408,AM
80,2347167796,2016-04-29,12:00:00,1,411,AM
81,3977333714,2016-04-12,12:00:00,1,274,AM
82,3977333714,2016-04-13,12:00:00,2,295,AM
83,3977333714,2016-04-14,12:00:00,1,291,AM
84,3977333714,2016-04-15,12:00:00,1,424,AM
85,3977333714,2016-04-16,12:00:00,1,283,AM
86,3977333714,2016-04-17,12:00:00,1,381,AM
87,3977333714,2016-04-18,12:00:00,2,412,AM
88,3977333714,2016-04-19,12:00:00,1,219,AM
89,3977333714,2016-04-20,12:00:00,2,152,AM
90,3977333714,2016-04-21,12:00:00,1,332,AM
91,3977333714,2016-04-22,12:00:00,1,355,AM
92,3977333714,2016-04-23,12:00:00,1,235,AM
93,3977333714,2016-04-24,12:00:00,1,310,AM
94,3977333714,2016-04-25,12:00:00,1,262,AM
95,3977333714,2016-04-26,12:00:00,1,250,AM
96,3977333714,2016-04-27,12:00:00,1,349,AM
97,3977333714,2016-04-28,12:00:00,1,261,AM
98,3977333714,2016-04-29,12:00:00,1,333,AM
99,3977333714,2016-04-30,12:00:00,1,237,AM
100,3977333714,2016-05-01,12:00:00,1,383,AM
